"統計名：","住民基本台帳人口移動報告 年報（年齢別）2010年～2019年"
"表番号：","1-3"
"表題：","年齢（５歳階級），男女別転入超過数－全国，都道府県，３大都市圏（東京圏，名古屋圏，大阪圏），大都市（東京都特別区部及び政令指定都市）　（2010年～2019年）"
"実施年月：","-","-"
"市区町村時点（年月日）：","-"

"***","調査していないため該当数値がないもの"
"-","定義上該当数値がないもの"

"","","","","","","","","","","","","","","","/年齢 コード","000","201","202","203","204","205","206","207","208","209","210","211","212","213","214","215","216","217","218","402"
"","","","","","","","","","","","","","","","/年齢 補助コード","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"表章項目 コード","表章項目 補助コード","表章項目","性別 コード","性別 補助コード","性別","国籍 コード","国籍 補助コード","国籍","時間軸（年次） コード","時間軸（年次） 補助コード","時間軸（年次）","地域 コード","地域 補助コード","地域","/年齢","総数","0～4歳","5～9歳","10～14歳","15～19歳","20～24歳","25～29歳","30～34歳","35～39歳","40～44歳","45～49歳","50～54歳","55～59歳","60～64歳","65～69歳","70～74歳","75～79歳","80～84歳","85～89歳","90歳以上"
"04","","転入超過数【人】","0","","総数","60000","","移動者","2019000000","","2019年","21000","","岐阜県","","-6,765","417","75","-15","-1,181","-3,321","-1,765","-608","-16","-42","-84","32","19","-31","-24","-21","-46","-31","-69","-54"
"04","","転入超過数【人】","0","","総数","60000","","移動者","2019000000","","2019年","22000","","静岡県","","-6,129","-126","-247","-191","-1,592","-2,591","-815","-500","-336","-275","-128","56","3","207","173","100","100","19","14","0"
"04","","転入超過数【人】","0","","総数","60000","","移動者","2019000000","","2019年","23000","","愛知県","","-1,931","-1,228","-624","-301","1,346","3,058","-121","-1,327","-681","-514","-409","-356","-432","-407","-215","-53","37","64","109","120"
"04","","転入超過数【人】","0","","総数","60000","","移動者","2019000000","","2019年","24000","","三重県","","-6,321","-152","-124","-161","-720","-2,006","-940","-499","-412","-386","-316","-223","-103","-48","-12","-29","-71","-52","-50","-17"
"04","","転入超過数【人】","0","","総数","60000","","移動者","2019000000","","2019年","25000","","滋賀県","","1,079","391","53","26","263","-1,012","76","487","430","112","12","43","0","-28","43","-1","73","35","42","34"
"04","","転入超過数【人】","0","","総数","60000","","移動者","2019000000","","2019年","26000","","京都府","","-2,688","-179","63","53","2,125","-805","-2,276","-968","-481","-132","97","99","-22","6","-27","-1","-129","-11","-40","-59"
"04","","転入超過数【人】","0","","総数","60000","","移動者","2019000000","","2019年","27000","","大阪府","","8,064","-1,426","-316","76","2,344","6,783","2,327","-567","-583","-63","130","198","35","-297","-386","-233","-95","52","10","74"
"04","","転入超過数【人】","0","","総数","60000","","移動者","2019000000","","2019年","28000","","兵庫県","","-6,038","619","161","-132","30","-4,336","-1,927","-327","-47","-106","-180","117","113","67","-6","-30","37","-53","-39","1"
"04","","転入超過数【人】","0","","総数","60000","","移動者","2019000000","","2019年","29000","","奈良県","","-3,435","458","138","66","179","-2,485","-1,546","-342","-21","16","-15","-18","56","68","-15","-43","-21","13","31","46"
"04","","転入超過数【人】","0","","総数","60000","","移動者","2019000000","","2019年","30000","","和歌山県","","-3,376","54","0","-51","-595","-1,673","-567","-181","-51","-39","-29","-18","-42","-17","16","-31","-43","-60","-36","-13"
"04","","転入超過数【人】","0","","総数","60000","","移動者","2019000000","","2019年","31000","","鳥取県","","-1,516","15","-18","-23","-381","-977","-98","35","-51","-102","5","23","-6","46","33","7","12","0","-29","-7"
"04","","転入超過数【人】","0","","総数","60000","","移動者","2019000000","","2019年","32000","","島根県","","-1,971","-12","31","-14","-313","-1,132","-163","-2","-100","-57","-101","-89","40","93","58","-7","-31","-46","-56","-69"
"04","","転入超過数【人】","0","","総数","60000","","移動者","2019000000","","2019年","33000","","岡山県","","-4,014","-10","-51","-118","-511","-2,059","-929","-496","-56","18","10","-7","89","164","74","35","-36","-66","-42","-23"
"04","","転入超過数【人】","0","","総数","60000","","移動者","2019000000","","2019年","34000","","広島県","","-8,018","-214","-211","-85","-502","-3,767","-1,588","-625","-351","-291","-54","-72","-64","-32","-29","-52","-26","-35","-36","15"
"04","","転入超過数【人】","0","","総数","60000","","移動者","2019000000","","2019年","35000","","山口県","","-3,659","11","-66","-66","-384","-2,352","-386","-47","-32","-56","-26","-99","88","79","34","25","-45","-111","-132","-94"
"04","","転入超過数【人】","0","","総数","60000","","移動者","2019000000","","2019年","36000","","徳島県","","-3,357","-37","-74","-57","-568","-1,404","-565","-257","-102","-175","-120","-19","31","22","16","27","-11","-33","-25","-5"
"04","","転入超過数【人】","0","","総数","60000","","移動者","2019000000","","2019年","37000","","香川県","","-1,677","11","-33","-37","-309","-1,066","-276","5","-100","52","-50","20","62","46","18","32","-6","0","-13","-33"
"04","","転入超過数【人】","0","","総数","60000","","移動者","2019000000","","2019年","38000","","愛媛県","","-4,305","200","60","24","-1,103","-2,538","-668","-200","-4","4","-63","-24","44","106","54","56","-26","-54","-97","-76"
"04","","転入超過数【人】","0","","総数","60000","","移動者","2019000000","","2019年","39000","","高知県","","-2,458","6","-111","-40","-635","-1,411","-160","23","-78","-77","-27","2","19","74","28","30","7","-29","-35","-44"
"04","","転入超過数【人】","0","","総数","60000","","移動者","2019000000","","2019年","40000","","福岡県","","2,925","440","563","344","1,428","-1,370","-1,578","34","393","637","389","303","391","297","186","78","141","47","141","62"
"04","","転入超過数【人】","0","","総数","60000","","移動者","2019000000","","2019年","41000","","佐賀県","","-1,754","273","85","30","-874","-1,347","-409","53","144","10","-11","15","57","110","71","8","19","-4","21","-5"
"04","","転入超過数【人】","0","","総数","60000","","移動者","2019000000","","2019年","42000","","長崎県","","-7,309","-118","-177","-67","-2,160","-2,850","-742","-283","-248","-158","-160","-70","17","69","43","22","-38","-131","-167","-91"
"04","","転入超過数【人】","0","","総数","60000","","移動者","2019000000","","2019年","43000","","熊本県","","-3,900","172","128","-25","-1,603","-2,060","-643","-69","24","-20","-67","-17","173","161","121","33","-6","-36","-92","-74"
"04","","転入超過数【人】","0","","総数","60000","","移動者","2019000000","","2019年","44000","","大分県","","-3,024","-101","-61","-50","-457","-1,892","-320","-224","-109","50","-19","-12","107","147","92","21","-39","-64","-54","-39"
